"","interes_ES","barreras_ES","publico_general_ES"
"264","Considero  que la ciencia abierta promueve para la colaboración y  el intercambio en el trabajo científico.","La falta de conocimiento de sus pares de los distintos repertorios de datos.","Fortalecería el trabajo y la"
"265","Porque quiero perfeccionar mis herramientas en docencia y acercarme a colaboraciones con la NASA","El presupuesto","Mayor difusión del conocimiento"
"266","Consolidar los conocimientos en Ciencia Abierta, conocer y compartir experiencias con colegas en otras partes del mundo y aplicar lo aprendido en mi contexto y campo laboral","Desconocimiento, temor al plagio, idioma","Claro que sí, comenzando por la difusión y alcance de la producción científica que permita generar nuevo conocimiento, ciencia ciudadana, etc."
"267","Para conocer nuevas herramientas","Encontrar instrumentos de acopio de datos adecuados y luego procesarlos estadísticamente","Daría la posibilidad de masificar el conocimiento"
"268","Me gustaría tener herramientas para que mis investigaciones tengan el formato de ciencia abierta","Desconocimiento","Mayor divulgación del conocimiento, mejoramiento prácticas internas del campo"
"269","Ampliar contexto y aplicación de la ciencia abierta, tanto para actividades de investigación como de docencia","El desconocimiento del tema, y los costos APC para publicación en revistas abiertas","Tenr un impacto real de la investigación, dando oportunidad a dar una retribución social a las comunidades"
"270","Es sorprende y sumamente valiosa toda la preparación que se va a impartir durante esta formación.","Accesibilidad a la tecnología para cumplir nuevas metas.","Ayudar a mejorar a tomar decisiones bajar las incertidumbres y dudas y abrir nuevos campos y generar nuevos avances en el desarrollo social."
"271","Siempre estoy en constante capacitación para enseñar a mis estudiantes.","La falta de capacitación y que algunas veces es costoso.","Que el conocimiento se expanda, y ademas, es un conocimiento actualizado."
"272","I understand Spanish well but have difficulty writing in the language, so I will use English to respond to this question: I am interested in the MetaDocencia training program because I believe in the importance of Open Science and its interdisciplinary approach, which can also allow collaborations across different knowledge areas. Engaging in debates about Open Science and contributing to open initiatives are important opportunities also for teaching and disseminating science. I will also be teaching a research methods course that includes discussions on metascience during the program period.","One is the issue of open access publication due to the lobbying by publishers and economic interests that prioritize profit over accessibility, reducing the dissemination of knowledge to the community.
Psychology research often involves sensitive data which requires stringent confidentiality and privacy measures, especially in qualitative studies with few participants. The need to protect participant data sometimes complicate the sharing process and limits the openness of the research.
On a broader level, the lack of institutional incentives to adopt open practices.","Enhance transparency, trust, and collaboration between the scientific community and the general public, making science more accessible to everyone."
"273","Me interesa la propuesta y el enriquecimiento profesional que me va a generar","Veo como dificultad el acceso a internet, no contar con un buen servicio y el uso de nuevas herramientas lo tomo como un desafio","Va a influir positivamente en mi relación con la comunidad científica y el público en general"
"274","Por los principios de ciencia abierta; me encuentro trabajando en varios proyectos sobre fintech con principios open science y me gustaría complementar la práctica con algo de teoría y discusión en un entorno educativo informal. También conozco fundaciones en mi país con estos intereses, y quiero entender cómo puedo ser un mejor miembro de la comunidad de ciencia abierta o copyleft, entre otros.","La barrera de acceso a materiales bibliograficos de calidad es un gran problema que está presentando un problema para la comunidad científica, sobre todo la más jóven o de investigadores en formación, ya que deben recurrir a sitios alternativos a los de las publicaciones oficiales. En Europa, este tipo de sitios están prohibidos por las autoridades locales; y aunque, en Latinoamerica, aun no es estricta la prohibición de obtencion de copia de materiales protegidos, trae desventajas comparativas aún mayores que en Europa. 

Creo que esto es así porque en Latinoamérica se produce investigación cientifica de calidad internacional, pero el sistema de publicaciones académicas está circunscrito a la comunidad angloparlante. 

Las consecuencias epistemologicas son variadas: van desde el empobrecimiento de los sistemas cientificos, hasta la falta de financiamiento por parte de la esfera internacional, y terminando por la dificultad de acceso a la educación para futuros investigadores e investigadoras.","- Ayudar a la elaboración de material de difusión y promover la discusión cientifica más diversa, de forma masiva, y en términos equitativos (geograficamente, en términos de género, entre otros). 

- Contribuir al desarrollo de soluciones tecnológícas que respondan a necesidades sociales antes que a imperativos de mercado.

- Permitir auditorias, disponibilidad abierta, y transparencia en el uso de datos, sobre todo privados, con todo tipo de aplicaciones posibles que se alineen con principios de responsabilidad social empresaria.

- Fomentar el auto-conocimiento de la ciudadanía y empoderar a las personas a entender y saber dónde y cómo se recopilan sus datos personales por parte del ámbito público."
"275","Ampliar la capacidad de comunicar, la accesibilidad, para mi y para otros","Falta de conocimiento en cuanto al cómo","Normalizar el acceso al conocimiento científico, derribar barreras económicas al momento de realizar ciencia"
"276","Estoy interesada en participar en este programa de formación porque considero que la Ciencia Abierta es una herramienta fundamental para promover la transparencia, la colaboración y el acceso equitativo al conocimiento en contextos hispanohablantes. Aunque soy nueva en esta temática y aún no conozco en profundidad sus alcances, estoy motivada a aprender y explorar cómo estos principios pueden aplicarse a mis actividades. Trabajo regularmente con análisis de datos en el ámbito de la salud y la gestión de información, y creo que incorporar principios de Ciencia Abierta podría fortalecer y mejorar mis prácticas actuales. Además, me interesa explorar cómo estas iniciativas pueden aplicarse a proyectos interdisciplinarios en América Latina, promoviendo un enfoque ético y colaborativo hacia el uso y la difusión de datos.","En el ámbito de la geofísica, uno de los principales desafíos es la recolección y acceso a los datos. Muchas veces, el instrumental necesario es costoso, escaso y a menudo propiedad de instituciones privadas, lo que limita la disponibilidad de datos abiertos. Además, existe un recelo generalizado entre investigadores sobre compartir información, derivado del temor a perder el reconocimiento por el trabajo realizado, lo que dificulta la colaboración abierta.

En el área de la salud, aunque tengo menos experiencia, entiendo que uno de los mayores obstáculos es el carácter sensible de los datos. Las restricciones éticas y legales para proteger la privacidad de las personas limitan las posibilidades de acceso a datos abiertos, especialmente en áreas como la salud pública. También percibo que muchas veces los esfuerzos en este campo se orientan más hacia mejorar los procesos asistenciales y administrativos que hacia la investigación propiamente dicha, lo que podría reducir los recursos disponibles para iniciativas de Ciencia Abierta.

De manera más general, en ambas disciplinas y otras áreas relacionadas, hay barreras culturales y estructurales que dificultan la adopción de estas prácticas. Entre ellas, la falta de capacitación en principios de Ciencia Abierta, la escasez de incentivos institucionales para compartir datos o métodos, y la percepción de que publicar en revistas tradicionales es más valioso que contribuir con repositorios abiertos. Estos desafíos muestran la necesidad de un cambio cultural y estructural para integrar la Ciencia Abierta de manera efectiva.","La Ciencia Abierta tiene un potencial enorme para cambiar la forma en que la comunidad científica se relaciona con el público. Por un lado, abrir el acceso a publicaciones, datos y metodologías permite que cualquier persona pueda entender mejor cómo se hace ciencia. Esto no solo genera más confianza, sino que también ayuda a que el conocimiento sea más accesible y menos exclusivo.

Además, iniciativas como la ciencia ciudadana invitan al público a participar activamente en la generación de conocimiento. Esto puede ir desde recolectar datos hasta proponer preguntas de investigación. Creo que esta interacción no solo acerca a las personas a la ciencia, sino que también refuerza la idea de que el conocimiento puede (y debe) construirse de manera colectiva.

Otro aspecto importante es la lucha contra la desinformación. Al ser más transparentes y permitir que cualquiera pueda reproducir o verificar resultados, la Ciencia Abierta puede ser una herramienta clave para combatir noticias falsas o información errónea sobre temas científicos.

Por último, al derribar las barreras de acceso al conocimiento, se abre la puerta a una participación más diversa. Esto no solo beneficia a quienes antes quedaban fuera del sistema, sino que también enriquece la ciencia misma, al incluir más perspectivas y responder mejor a las necesidades de distintas comunidades."
"277","Estoy interesado en participar en este programa porque considero que la Ciencia Abierta es un pilar fundamental para democratizar el conocimiento, especialmente en contextos de América Latina, donde el acceso a recursos académicos y científicos puede ser limitado. Mi experiencia en investigación se alinea estrechamente con los principios de la Ciencia Abierta, ya que trabajo en temas relacionados con el impacto de la mercadotecnia electrónica en el emprendimiento urbano y el uso de tecnologías como la Inteligencia Artificial y Big Data en iniciativas globales de paz.

Además, como creador de contenido enfocado en juventud, negocios y sostenibilidad, veo una gran oportunidad para integrar estos conocimientos y contribuir a la difusión de la Ciencia Abierta a través de medios accesibles y atractivos, empoderando a nuevas generaciones para participar activamente en la investigación y la innovación.

La estructura del programa, con encuentros virtuales adaptados a la realidad latinoamericana y un plenario final para compartir iniciativas, me resulta particularmente relevante para aprender de experiencias locales, aportar mi perspectiva, y fortalecer mi compromiso con la difusión del conocimiento científico abierto y colaborativo.","En las disciplinas de Ciencias Sociales, en especifico, Negocios Internacionales y Comercio Exterior, la adopción de prácticas de Ciencia Abierta enfrenta múltiples barreras. Una de las principales es la tensión entre la apertura del conocimiento y la protección de la propiedad intelectual, ya que estas áreas suelen involucrar información confidencial sobre acuerdos comerciales, estrategias empresariales o datos sensibles que, al ser compartidos, podrían vulnerar contratos o regulaciones legales. Además, la falta de acceso a infraestructura tecnológica adecuada, como repositorios digitales o herramientas de colaboración, afecta especialmente a investigadores en regiones con recursos limitados, como América Latina, lo que genera desigualdades en la capacidad de participar en iniciativas de Ciencia Abierta. Otro desafío importante es la resistencia cultural dentro de la academia y el sector privado, donde prevalece la percepción de que compartir datos o hallazgos podría reducir ventajas competitivas o el reconocimiento individual del investigador. A esto se suma la falta de formación en competencias digitales y el desconocimiento sobre cómo implementar prácticas abiertas sin comprometer la calidad o integridad de los datos, lo que limita su adopción generalizada.","La adopción de principios de Ciencia Abierta tiene el potencial de transformar significativamente la relación entre la comunidad científica y el público en general, fomentando una interacción más inclusiva, transparente y colaborativa.

En primer lugar, al hacer accesibles los resultados de investigaciones, datos y metodologías, la Ciencia Abierta reduce las barreras de acceso al conocimiento, lo que permite que la sociedad en general participe activamente en la comprensión y aplicación de los hallazgos científicos. Esto fortalece la confianza en la comunidad académica, ya que el público percibe una mayor transparencia y responsabilidad en el manejo de los recursos y la generación de conocimiento.

Además, la posibilidad de involucrar a ciudadanos en la investigación, a través de proyectos de ciencia ciudadana o consultas abiertas, no solo democratiza la producción científica, sino que también ayuda a que las investigaciones respondan a necesidades reales y locales, incrementando su relevancia social. Este enfoque participativo puede generar un círculo virtuoso de cooperación, en el que la sociedad no solo consume conocimiento, sino que también lo crea y lo legitima."
"278","Mejorar mis competencias para compartirlas con colegas y estudiantes.","Formación","Formalizar la redacción."
"279","me interesa el futuro de la investigaciòn","Miedo a ala crtica, a la comparaciòn ,al plagio y a la revisiòn sobre la rigurosidad cientifica","buena cuando la conozcan"
"280","Me interesaría participar en este curso porque ofrece una oportunidad única de explorar los principios de la Ciencia Abierta con un enfoque local y relevante para América Latina, en un espacio completamente en español. Además, es interesante la posibilidad de acceder a una doble certificación de MetaDocencia y la NASA, lo que refuerza el valor académico y profesional del curso. También me permitirá fortalecer mis conocimientos, intercambiar ideas con una comunidad diversa de interesados en la Ciencia Abierta, y enriquecer mis proyectos actuales mediante prácticas colaborativas y técnicas innovadoras.","Los principales desafíos serían la falta de recursos o capacitaciones, también los aspectos legales y  éticos cuando se aborda la propiedad intelectual o confidencialidad.","Creo que puede influir a que se tenga un mayor acceso a información científica, así como también a que el público podría involucrarse más activamente en la ciencia, ya sea a través de la Ciencia Ciudadana o colaborando en la recopilación de datos de forma que contribuyan a la producción del conocimiento"
"281","Desde una perspectiva profesional, trabajo en proyectos relacionados con el monitoreo de la biodiversidad marina que tienen un impacto directo en la gestión pesquera, ambiental y en la ciencia aplicada. En este contexto, la ciencia abierta representa una oportunidad para aprender a compartir mis métodos y datos, fomentando la reproducibilidad, la colaboración con otros investigadores y la transparencia con actores interesados en estas problemáticas. Además, el acceso a plataformas y repositorios abiertos enriquece enormemente mis análisis. Participar en este tipo de capacitación me permitiría fortalecer habilidades clave, como la gestión de datos, la escritura científica para audiencias más amplias y el uso de plataformas colaborativas. Estas herramientas no solo enriquecerán mi desarrollo como investigadora, sino que también abrirán nuevas oportunidades en el ámbito laboral y académico.
Además, formo parte de redes nacionales e internacionales de científicos y científicas, y considero que la ciencia abierta tiene el potencial de ampliar estas conexiones al facilitar la creación de vínculos globales, el intercambio de datos y la realización de trabajos conjuntos. Por otro lado, me interesa fortalecer mi compromiso con la ética científica, contribuyendo a la promoción del acceso equitativo al conocimiento y la resolución colectiva de problemas globales.","Creo que en la biología/ecología marina, algunos de los principales desafíos para adoptar prácticas de ciencia abierta son:
- El alto costo asociado a publicar en revistas de acceso abierto.
- La confidencialidad de los datos analizados, especialmente cuando un organismo público o privado que financió la investigación tiene la ""propiedad"" de esos datos.
- La poca formación en la generación de códigos reproducibles, lo que dificulta compartirlos y que otras personas puedan utilizarlos de manera efectiva.
- La presión por publicar en revistas científicas de alto factor de impacto. Esto genera una ""necesidad"" de optar por revistas con paywall, ya que muchas revistas de acceso abierto son demasiado costosas o tienen un factor de impacto más bajo.
- La falta de tiempo y recursos para mantener páginas web, blogs o perfiles en redes sociales de laboratorios o grupos de trabajo. Aunque hay personas formadas en estrategias de comunicación, en la práctica esta tarea suele recaer en los propios investigadores, quienes no siempre saben de comunicación científica ni tienen el tiempo necesario para instruirse o gestionar estas actividades, que prácticamente equivalen a un trabajo de tiempo completo.","creo que la adopcion de principios de ciencia abierta puede hacer crecer la confianza entre el ""público general"" y la comunidad científica, al aumentar la transparencia y permitir que las personas vean cómo llegamos a las conclusiones científicas y cómo es todo el proceso de investigación. Además facilitaría acceso de información a personas o comunidades que se ven afectadas por las problemáticas de estudio. Esto puede empoderarlas a participar en la búsqueda y aplicación de soluciones, y les permite tomar decisiones más informadas. Por otro lado, la disponibilidad de datos y el acceso a códigos abiertos son recursos para la formación de futuros profesionales, pueden ser usado en distintos contextos educativos."
"282","interes por conocer el campo de recolección de datos, interes por profundizar conocimientos de analisis de datos y el papel que tiene su apertura","Un desafío podría ser tener un adecuado manejo en la selección de datos sensibles o información personal que se llega a difundir","Mayor tranparencia y propiciar el aprendizaje en el público"
"283","para entender mejor la ciencia abierta y ser evangelista de su uso responsable e informado","falta de apoyo político, falta de plataformas para las publicaciones, falta de espacios y trabas administrativas","seria un puente mas solido y de mayor confianza para acerca la ciencia a mas personas"
"284","Porque la ciencia abierta es la nueva tendencia en investigación","PLAGIO",NA
"285","En mi formación no me he prácticamente encontrado con profesores e investigadores que desarrollen las prácticas aquí mencionadas o hagan mención a la ciencia abierta excepto por las publicaciones académicas, por lo que me interesa profundizar en experiencias de aplicación ahora que estoy desarrollando mi doctorado. Incluso cuando he solicitado datos a instituciones como universidades no tuvo respuestas o no quieren compartirlos para otras investigaciones.","Dificultades para realizar la investigación mientras se hace pública la misma sin haber finalizado, en particular en la investigación cualitativa. Problemas con las instituciones o entrevistados que son objeto de estudio y la posibilidad de que se los identifique al publicar todos los datos primarios, aunque se oculten sus nombres.","Debería ser positivo en el sentido de hacer más transparente de dónde surgen los resultados, pero a la vez el público puede abocarse a sacar conclusiones en base a los datos sin tener formación para analizarlos, y poner en cuestionamiento las conclusiones del investigador/a, en particular en cs. sociales donde actualmente, se forma constante se cuestionan las investigaciones y su valor y ""utilidad""."
